NU_INSCRICAO;NU_ANO;TP_ST_CONCLUSAO;TP_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_STATUS_REDACAO;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q022;Q024;Q025
190002613752;2019;2;3;3111200.0;Campo Belo;MG;4.0;3111200;Campo Belo;1;1;1;1;585.5;608.0;626.0;702.4;1.0;700.0;F;E;D;B;5;G;E;B;B
190003144826;2019;3;1;;;;;3111200;Campo Belo;1;1;1;1;603.9;620.1;544.8;612.9;1.0;700.0;D;G;D;E;4;G;D;B;B
190003165095;2019;2;3;3111200.0;Campo Belo;MG;2.0;3111200;Campo Belo;1;1;1;1;407.9;392.2;479.1;409.5;4.0;0.0;B;B;B;B;3;C;D;A;B
190003144940;2019;2;2;3158805.0;Santana do Jacaré;MG;2.0;3111200;Campo Belo;1;1;1;1;576.1;559.1;554.0;619.7;1.0;580.0;E;F;D;D;5;F;D;B;B
190003168234;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;617.2;594.8;599.9;612.6;1.0;940.0;A;B;B;B;6;G;E;B;B
190003131484;2019;2;2;3111200.0;Campo Belo;MG;2.0;3111200;Campo Belo;0;1;1;0;;557.9;531.1;;1.0;460.0;B;B;C;B;7;E;D;B;B
190003131512;2019;2;2;3111200.0;Campo Belo;MG;2.0;3111200;Campo Belo;1;1;1;1;459.4;443.6;419.0;393.1;6.0;0.0;A;C;A;B;4;B;C;A;B
190003168418;2019;2;2;3111200.0;Campo Belo;MG;2.0;3111200;Campo Belo;0;1;1;0;;361.2;484.2;;1.0;400.0;C;E;B;C;3;C;D;B;B
190003151575;2019;2;2;3111200.0;Campo Belo;MG;2.0;3111200;Campo Belo;0;1;1;0;;392.7;535.9;;1.0;560.0;C;B;C;F;6;C;D;B;B
190003151632;2019;3;1;;;;;3111200;Campo Belo;1;1;1;1;521.4;0.0;0.0;499.0;1.0;300.0;B;B;A;B;3;E;D;B;B
190003134949;2019;3;1;;;;;3111200;Campo Belo;1;1;1;1;442.8;515.1;530.4;532.3;1.0;560.0;C;E;C;B;3;D;C;B;B
190003138216;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;335.6;449.7;505.2;544.4;1.0;320.0;C;B;B;B;5;C;C;B;B
190003175147;2019;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;B;C;B;B;4;B;B;B;B
190003141399;2019;2;2;3111903.0;Cana Verde;MG;2.0;3111200;Campo Belo;1;1;1;1;505.6;542.5;539.4;506.9;1.0;600.0;C;E;C;B;3;E;D;B;B
190003158218;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;589.5;647.2;601.9;582.3;1.0;920.0;E;G;B;D;3;J;D;C;B
190003138182;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;465.4;436.4;557.5;470.1;1.0;500.0;B;B;A;F;3;C;B;A;B
190003158268;2019;2;3;3111200.0;Campo Belo;MG;4.0;3111200;Campo Belo;1;1;1;1;667.4;702.8;613.9;862.4;1.0;980.0;F;G;D;D;3;M;E;C;B
190003141518;2019;2;3;3111200.0;Campo Belo;MG;4.0;3111200;Campo Belo;1;1;1;1;481.7;523.8;496.8;690.2;1.0;800.0;F;F;E;D;4;I;D;B;B
190003144670;2019;3;1;;;;;3111200;Campo Belo;1;1;1;1;388.2;448.6;522.9;574.5;1.0;540.0;C;E;C;D;4;G;C;A;B
190003181752;2019;2;2;3112000.0;Candeias;MG;2.0;3111200;Campo Belo;1;1;1;1;565.8;518.1;526.1;664.9;1.0;680.0;B;B;C;A;3;C;B;B;B
190003144776;2019;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;E;F;B;B;4;C;C;B;B
190003178225;2019;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;B;B;B;B;1;C;B;B;B
190003164675;2019;2;2;3149903.0;Perdões;MG;4.0;3111200;Campo Belo;1;1;1;1;590.9;591.1;589.7;635.8;1.0;640.0;C;G;C;E;3;J;D;B;B
190003181525;2019;2;2;3120201.0;Cristais;MG;2.0;3111200;Campo Belo;1;1;1;1;488.4;570.8;547.9;545.9;1.0;680.0;C;F;D;D;4;G;E;A;B
190003164745;2019;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;C;D;C;B;2;C;C;B;B
190003181591;2019;2;2;3111200.0;Campo Belo;MG;2.0;3111200;Campo Belo;1;1;1;1;487.7;578.4;568.6;552.4;1.0;520.0;E;E;B;D;4;C;C;A;B
190003147935;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;457.2;343.0;486.7;565.2;1.0;560.0;C;E;C;D;3;C;D;B;B
190003164819;2019;2;3;;;;;3111200;Campo Belo;1;1;1;1;551.0;538.5;480.7;687.3;1.0;740.0;G;G;D;D;5;H;E;B;B
190003131332;2019;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;D;E;B;B;3;B;C;A;A
190003134451;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;442.4;544.1;536.2;462.6;1.0;620.0;D;D;C;C;5;C;D;A;B
